DexNum;Name;Type1;Type2;Total;HP;Atk;Def;SAtk;SDef;Spd;Generation;Legendary;Mega;Tier
384;Mega Rayquaza;Dragon;Flying;780;105;180;100;180;100;115;3;True;True;Uber
94;Mega Gengar;Ghost;Poison;600;60;65;80;170;95;130;1;False;True;Uber
115;Mega Kangaskhan;Normal;NoType;590;105;125;100;60;100;100;1;False;True;Uber
150;Mewtwo;Psychic;NoType;680;106;110;90;154;90;130;1;True;False;Uber
150;Mega Mewtwo X;Psychic;Fighting;780;106;190;100;154;100;130;1;True;True;Uber
150;Mega Mewtwo Y;Psychic;NoType;780;106;150;70;194;120;140;1;True;True;Uber
249;Lugia;Psychic;Flying;680;106;90;130;90;154;110;2;True;False;Uber
250;Ho-oh;Fire;Flying;680;106;130;90;110;154;90;2;True;False;Uber
257;Blaziken;Fire;Fighting;530;80;120;70;110;70;80;3;False;False;Uber
257;Mega Blaziken;Fire;Fighting;630;80;160;80;130;80;100;3;False;True;Uber
302;Mega Sableye;Dark;Ghost;480;50;85;125;85;115;20;3;False;True;Uber
303;Mega Mawile;Steel;Fairy;480;50;105;125;55;95;50;3;False;True;Uber
373;Mega Salamence;Dragon;Flying;700;95;145;130;120;90;120;3;False;True;Uber
382;Kyogre;Water;NoType;670;100;100;90;150;140;90;3;True;False;Uber
383;Groudon;Ground;NoType;670;100;150;140;100;90;90;3;True;False;Uber
384;Rayquaza;Dragon;Flying;680;105;150;90;150;90;95;3;True;False;Uber
448;Mega Lucario;Fighting;Steel;625;70;145;88;140;70;112;4;False;True;Uber
483;Dialga;Steel;Dragon;680;100;120;120;150;100;90;4;True;False;Uber
484;Palkia;Water;Dragon;680;90;120;100;150;120;100;4;True;False;Uber
491;Darkrai;Dark;NoType;600;70;90;90;135;90;125;4;True;False;Uber
643;Reshiram;Dragon;Fire;680;100;120;100;150;120;90;5;True;False;Uber
644;Zekrom;Dragon;Electric;680;100;150;120;120;100;90;5;True;False;Uber
649;Genesect;Bug;Steel;600;71;120;95;120;95;99;5;True;False;Uber
658;Greninja;Water;Dark;530;72;95;67;103;71;122;6;False;False;Uber
716;Xerneas;Fairy;NoType;680;126;131;95;131;98;99;6;True;False;Uber
717;Yveltal;Dark;Flying;680;126;131;95;131;98;99;6;True;False;Uber
681;Aegislash;Steel;Ghost;520;60;150;50;150;50;60;6;False;False;Uber
386;Deoxys-A;Psychic;NoType;600;50;180;20;180;20;150;3;True;False;Uber
386;Deoxys;Psychic;NoType;600;50;150;50;150;50;150;3;True;False;Uber
386;Deoxys-S;Psychic;NoType;600;50;95;90;95;90;180;3;True;False;Uber
386;Deoxys-D;Psychic;NoType;600;50;70;160;70;160;90;3;True;False;Uber
487;Giratina;Ghost;Dragon;680;150;100;120;100;120;90;4;True;False;Uber
487;Giratina-O;Ghost;Dragon;680;150;120;100;120;100;90;4;True;False;Uber
646;Kyurem-W;Dragon;Ice;700;125;120;90;170;100;95;5;True;False;Uber
493;Arceus;Normal;NoType;720;120;120;120;120;120;120;4;True;False;Uber
383;Primal Groudon;Ground;Fire;770;100;180;160;150;90;90;3;True;False;Uber
382;Primal Kyogre;Water;NoType;770;100;150;90;180;160;90;3;True;False;Uber
720;Hoopa-U;Psychic;Dark;680;80;160;60;170;130;80;6;True;False;Uber
645;Landorus;Ground;Flying;600;89;125;90;115;80;101;5;True;False;Uber
492;Shaymin-S;Grass;Flying;600;100;103;75;120;75;127;4;True;False;Uber
3;Mega Venusaur;Grass;Poison;625;80;100;123;122;120;80;1;False;True;OU
6;Mega Charizard X;Fire;Dragon;634;78;130;111;130;85;100;1;False;True;OU
6;Mega Charizard Y;Fire;Flying;634;78;104;78;159;115;100;1;False;True;OU
36;Clefable;Fairy;NoType;483;95;70;73;95;90;60;1;False;False;OU
51;Dugtrio;Ground;NoType;405;35;80;50;50;70;120;1;False;False;OU
80;Slowbro;Water;Psychic;490;95;75;110;100;80;30;1;False;False;OU
80;Mega Slowbro;Water;Psychic;590;95;75;180;130;80;30;1;False;True;OU
94;Gengar;Ghost;Poison;500;60;65;60;130;75;110;1;False;False;OU
113;Chansey;Normal;NoType;450;250;5;5;35;105;50;1;False;False;OU
121;Starmie;Water;Psychic;520;60;75;85;100;85;115;1;False;False;OU
127;Mega Pinsir;Bug;Flying;600;65;155;120;65;90;105;1;False;True;OU
145;Zapdos;Electric;Flying;580;90;90;85;125;90;100;1;True;False;OU
149;Dragonite;Dragon;Flying;600;91;134;95;100;100;80;1;False;False;OU
151;Mew;Psychic;NoType;600;100;100;100;100;100;100;1;True;False;OU
184;Azumarill;Water;Fairy;420;100;50;80;60;80;50;2;False;False;OU
212;Scizor;Bug;Steel;500;70;130;100;55;80;65;2;False;False;OU
212;Mega Scizor;Bug;Steel;600;70;150;140;65;100;75;2;False;True;OU
214;Mega Heracross;Bug;Fighting;600;80;185;115;40;105;75;2;False;True;OU
227;Skarmory;Steel;Flying;465;65;80;140;40;70;70;2;False;False;OU
243;Raikou;Electric;NoType;580;90;85;75;115;100;115;2;True;False;OU
248;Tyranitar;Rock;Dark;600;100;134;110;95;100;61;2;False;False;OU
248;Mega Tyranitar;Rock;Dark;700;100;164;150;95;120;71;2;False;True;OU
282;Mega Gardevoir;Psychic;Fairy;618;68;85;65;165;135;100;3;False;True;OU
286;Breloom;Grass;Fighting;460;60;130;80;60;60;70;3;False;False;OU
